0.114052,0.105615,0.480374,0.174116
0.263857,0.435020,0.756614,0.849529
0.617141,0.729543,0.854166,0.579260
0.837408,0.331113,0.422616,0.426128
0.740821,0.077884,0.918031,0.149897
0.153127,0.836531,0.786577,0.442592
0.805872,0.060050,0.526046,0.690265
0.114395,0.551298,0.366066,0.436978
0.165295,0.568889,0.831255,0.749076
0.799047,0.203890,0.077465,0.446443
0.804736,0.008727,0.884715,0.581565
0.733265,0.178059,0.612710,0.012167
0.015655,0.171133,0.258449,0.034038
0.865764,0.805130,0.944986,0.227809
0.447642,0.258945,0.273618,0.593023
0.987706,0.210134,0.649796,0.502199
0.340537,0.720759,0.635287,0.109561
0.547534,0.569634,0.108828,0.242137
0.350209,0.397097,0.578252,0.422203
0.795896,0.840513,0.348413,0.569184
0.505054,0.231847,0.654105,0.431408
0.548765,0.027907,0.858768,0.178437
0.229667,0.109453,0.828937,0.159368
0.116941,0.709608,0.049529,0.375305
0.871349,0.147983,0.377714,0.076094
0.977427,0.879235,0.621371,0.143881
0.903004,0.527318,0.748913,0.356953
0.947243,0.472117,0.434065,0.739283
0.914699,0.694260,0.071920,0.568028
0.826387,0.112231,0.000107,0.781349
0.202076,0.344539,0.781643,0.462644
0.207201,0.332953,0.866631,0.804452
0.464504,0.942945,0.499949,0.032957
0.642191,0.003379,0.651041,0.188766
0.779852,0.047380,0.569063,0.294574
0.334259,0.196606,0.690476,0.917886
0.620047,0.065679,0.976314,0.997999
0.594324,0.831513,0.007048,0.261138
0.618462,0.889079,0.024115,0.450126
0.627459,0.844118,0.279285,0.549593
0.382117,0.914862,0.924259,0.920208
0.113283,0.598456,0.761489,0.988128
0.501856,0.159586,0.462006,0.794446
0.997156,0.077968,0.935023,0.110037
0.646179,0.825733,0.860663,0.270571
0.926224,0.991319,0.383809,0.293040
0.133738,0.943136,0.649315,0.068445
0.746660,0.233739,0.324660,0.173625
0.798976,0.504763,0.547343,0.622452
0.769267,0.332485,0.202647,0.511965
0.112267,0.855207,0.768781,0.707777
0.995433,0.967777,0.675950,0.028072
0.405847,0.091075,0.528023,0.952231
0.417874,0.001733,0.981103,0.444392
0.186137,0.651661,0.961231,0.995038
0.206832,0.330315,0.742259,0.698045
0.495544,0.853200,0.471144,0.320959
0.862640,0.324971,0.543806,0.849300
0.010749,0.226375,0.635879,0.417385
0.436771,0.171119,0.132890,0.824361
0.201173,0.034168,0.137553,0.454399
0.910273,0.628417,0.537745,0.698292
0.484102,0.366102,0.310860,0.731581
0.882012,0.127049,0.036098,0.687574
0.858929,0.090740,0.891433,0.849159
0.265631,0.514403,0.398472,0.921291
0.910913,0.394318,0.616857,0.522597
0.252924,0.284866,0.410770,0.110272
0.037918,0.966580,0.378891,0.476244
0.466894,0.444896,0.569285,0.320097
0.267908,0.321114,0.424811,0.448508
0.695540,0.862183,0.720054,0.093144
0.907631,0.176466,0.738723,0.583546
0.622711,0.436725,0.736457,0.707089
0.027495,0.043923,0.655564,0.028516
0.997332,0.739293,0.269424,0.703393
0.891751,0.391676,0.431242,0.142104
0.885720,0.468898,0.714437,0.892329
0.212831,0.089091,0.817850,0.897975
0.206784,0.746605,0.307859,0.753445
0.721936,0.994618,0.603251,0.072156
0.742515,0.205485,0.977195,0.089420
0.758989,0.549473,0.372576,0.498355
0.960140,0.536769,0.045331,0.940520
0.575435,0.749633,0.465170,0.633768
0.229302,0.283731,0.240480,0.457426
0.127358,0.236388,0.770170,0.512364
0.108821,0.893213,0.603148,0.315946
0.071220,0.001909,0.819950,0.453100
0.041531,0.268697,0.223763,0.344860
0.491684,0.940199,0.062488,0.884157
0.799925,0.205513,0.275264,0.030028
0.512923,0.994729,0.902208,0.912334
0.862698,0.462058,0.309492,0.555718
0.605816,0.290150,0.863418,0.788154
0.700805,0.065269,0.331759,0.927427
0.751346,0.168026,0.352870,0.321235
0.345284,0.875736,0.982759,0.517691
0.839544,0.253797,0.542175,0.114703
0.316365,0.263155,0.884271,0.712630
