SMILES,logs,reduction potential,SA,overall performance↑,smarts_filter
CCOCCNC(=O)C(C)=[NH2+],0.4777109622955322,-1.2065668106079102,3.141661344254789,3.7149183239256565,0.0
CN(C)C(=[NH2+])NCCOCCO,0.7050056457519531,-1.1109484434127808,3.4138559844847602,3.6913046548092754,0.0
CN(C)C(=O)c1ccc([N+](=O)[O-])cc1C(=O)O,-1.07671058177948,-1.3286234140396118,1.9563193790433537,3.6909723211097942,0.0
CCOCCN(C)C(C)=[NH2+],0.6839747428894043,-1.077600121498108,3.381220845965455,3.6857954139920164,0.0
CN(C)C(=O)c1ccccc1[N+](=O)[O-],-0.8364013433456421,-1.5863019227981567,1.7768431636547142,3.681415164740333,0.0
CN(C)C(=[NH2+])NCCCN,0.7212655544281006,-1.1441659927368164,3.608782384426993,3.680081515547474,0.0
CN(C)C(=O)c1ccc([N+](=O)[O-])cc1,-1.2652673721313477,-1.4462268352508545,1.6526955545071047,3.678958340285984,0.0
NC(=[NH2+])NCc1ccncc1,-0.2889528274536133,-1.3212502002716064,2.900849467810877,3.6767697304192297,0.0
CN(C)C(=O)c1cc([N+](=O)[O-])ccc1,-1.0365854501724243,-1.5611788034439087,1.7235354713470237,3.6717521471592733,0.0
O=[N+]([O-])c1ccccc1C(=O)O,-1.4585530757904053,-1.3974802494049072,1.6295497344847618,3.6716936690915016,0.0
NC(=[NH2+])Cc1ccccc1,-0.7118301391601562,-1.3083882331848145,2.5552874985436453,3.6716105895926567,0.0
COCc1cc(S(=O)(=O)O)c(N(=O)=O)cc1,-0.9901782274246216,-1.3579989671707153,2.182962761062617,3.671086107717133,0.0
CN(C)C(=O)c1ccc(C(=O)O)cc1[N+](=O)[O-],-1.1819477081298828,-1.386022925376892,1.9369379105118831,3.670906853060445,0.0
CNC(=[NH2+])N(C)CCN(C)C,0.6247975826263428,-1.1341238021850586,3.5929201165170097,3.670012507047945,0.0
CCOCCN(C)C(=[NH2+])NC,0.5425348281860352,-1.1372363567352295,3.544087869453728,3.667291967220277,0.0
NC(=[NH2+])Cc1ccncc1,-0.18301701545715332,-1.2414101362228394,3.0530616743678216,3.6646741582620703,0.0
C[C@@H]1CN(C(=O)C(N)=[NH2+])CCO1,0.6161074638366699,-1.2103633880615234,3.798059055404119,3.6638775184555596,0.0
CNC(=[NH2+])N[C@H]1CN(C)C1,0.9632973670959473,-1.0626014471054077,3.8719445146045075,3.6616555746702257,0.0
C[C@H]1N(C)CCCN(C(N)=[NH2+])C1,0.5687277317047119,-1.1829161643981934,3.732592709250273,3.6601967351250826,0.0
