SMILES,logs,reduction potential,SA,overall performance↑,smarts_filter
O=C1C=CC(=O)C1OCCCO,-0.12979650497436523,-1.3405706882476807,3.02568981315609,3.668223092887882,0.0
O=C1C=CC(=O)C1OCCOCCO,-0.20859575271606445,-1.331531286239624,2.9929705265205406,3.6672308575804897,0.0
O=C1C=CC(=O)C1OCCCCO,-0.17989206314086914,-1.363158941268921,2.9215859038549805,3.6645886267928467,0.0
O=C1C=CC(=O)C1OCCO,-0.08561348915100098,-1.3374699354171753,3.152338797835691,3.6612167971344607,0.0
O=C1C=CC(=O)C1OCCOC,-0.4175436496734619,-1.3351266384124756,2.9622786243449006,3.6479671172331734,0.0
O=C1C=CC(=O)C1NC(C)=O,-0.5370914936065674,-1.330043077468872,2.864432697039936,3.647830349947801,0.0
O=C1C=CC(=O)C1OCCNCCO,-0.31586480140686035,-1.3479175567626953,3.024440349005748,3.6468024622536612,0.0
O=C1C=CC(=O)C=C1CCN(C)CCO,-0.23117327690124512,-1.1661746501922607,2.766265951824556,3.6467259372043244,0.0
O=C1C=CC(=O)C1OCCNCCOC,-0.4612538814544678,-1.3518785238265991,2.8922089429797406,3.6439023080259396,0.0
O=C1C=CC(=O)C1OCCCOC,-0.41515254974365234,-1.364331841468811,2.89335513462421,3.643416494975689,0.0
O=C1C=CC(=O)C1OCCOCCN,-0.26398158073425293,-1.362062692642212,3.0624959703075234,3.6425271678389377,0.0
O=C1C=CC(=O)C1OCCOCO,-0.1781017780303955,-1.3261282444000244,3.308224365393442,3.6409160878976063,0.0
O=C1C=CC(=O)C1CO,0.2152080535888672,-1.4536234140396118,3.2204799303024805,3.638023446712794,0.0
O=C1C=CC(=O)C1OCCOCC,-0.5523982048034668,-1.3347381353378296,2.938935903854979,3.6369713349990236,0.0
O=C1C=CC(=O)C1OCCNCCN,-0.19043684005737305,-1.3914889097213745,3.076966976224682,3.6366640544832447,0.0
O=C1C=CC(=O)C1OC(CO)CO,-0.012367963790893555,-1.3522250652313232,3.4366111785802547,3.634212059670356,0.0
O=C1C=CC(=O)C1OCCN(C)C,-0.3083007335662842,-1.3883981704711914,3.001806343415419,3.6336300241133532,0.0
O=C1C=CC(=O)C1OCCN,-0.20657038688659668,-1.363146185874939,3.236334182451076,3.630451068716257,0.0
O=C1C=CC(=O)C1OCCNCO,-0.1432640552520752,-1.3613379001617432,3.3473474423165177,3.6264036901784436,0.0
O=C1C=CC(=O)C1OCC(NC)=O,-0.45131492614746094,-1.351554274559021,3.0867465631956392,3.6255721412420816,0.0
O=C1C=CC(=O)C1OCCNC,-0.39550256729125977,-1.35358726978302,3.1353387642050405,3.625480958937162,0.0
O=C1C=CC(=O)CC1O,0.06489157676696777,-1.3523691892623901,3.63451569352953,3.6220899126187875,0.0
O=C1C=CC(=O)C1OCCNCC,-0.5325367450714111,-1.360750436782837,3.0077859038549803,3.621667560394226,0.0
